Store,Temperature,Rain,Snowfall,Wind Speed,Wind Direction,Is Day or Night
5710,11.4,0.0,0.0,1.8,53,Night
5193,7.4,0.0,0.0,5.2,65,Night
5766,9.0,0.0,0.0,4.3,24,Night
2280,14.0,0.0,0.0,4.3,185,Night
2952,8.7,0.0,0.0,5.9,43,Night
2925,10.7,0.0,0.0,5.4,352,Night
5023,17.9,0.0,0.0,2.6,34,Night
4393,13.9,0.0,0.0,3.9,112,Night
2245,13.8,0.0,0.0,4.8,132,Night
2494,13.9,0.0,0.0,4.8,132,Night
5075,13.7,0.0,0.0,4.8,132,Night
5637,13.8,0.0,0.0,4.8,132,Night
3796,15.5,0.0,0.0,2.3,51,Night
2546,17.0,0.0,0.0,5.4,8,Night
4309,9.8,0.0,0.0,7.0,78,Night
1575,9.4,0.0,0.0,6.1,90,Night
2032,15.7,0.0,0.0,6.3,24,Night
3087,15.6,0.0,0.0,7.6,335,Night
5643,15.7,0.0,0.0,6.3,24,Night
3026,12.2,0.0,0.0,3.4,328,Night
5096,12.1,0.0,0.0,3.4,328,Night
1832,12.7,0.0,0.0,5.8,338,Night
1660,8.6,0.0,0.0,0.4,180,Night
2950,8.5,0.0,0.0,5.6,165,Night
5689,4.0,0.0,0.0,4.2,20,Night
2568,15.9,0.0,0.0,6.8,328,Night
5605,16.4,0.0,0.0,4.3,360,Night
2110,17.6,0.0,0.0,3.9,326,Night
2099,8.6,0.0,0.0,2.1,239,Night
5843,10.0,0.0,0.0,3.9,292,Night
1747,7.2,0.0,0.0,4.2,31,Night
2886,17.8,0.0,0.0,3.0,14,Night
1615,13.3,0.0,0.0,3.6,225,Night
2418,6.5,0.0,0.0,9.4,72,Night
2161,12.8,0.0,0.0,3.9,112,Night
5611,12.8,0.0,0.0,3.9,112,Night
2288,16.1,0.0,0.0,2.3,51,Night
3132,15.7,0.0,0.0,2.3,51,Night
2526,12.9,0.0,0.0,7.8,338,Night
1877,9.8,0.0,0.0,5.6,135,Night
1700,15.8,0.0,0.0,3.7,79,Night
2457,13.2,0.0,0.0,5.6,105,Night
1922,15.4,0.0,0.0,2.3,51,Night
5600,13.6,0.0,0.0,6.9,47,Night
1608,7.4,0.0,0.0,1.8,90,Night
2537,7.4,0.0,0.0,6.6,347,Night
1693,14.1,0.0,0.0,5.7,55,Night
1862,15.9,0.0,0.0,2.6,34,Night
3131,13.6,0.0,0.0,5.7,55,Night
3455,14.2,0.0,0.0,2.0,315,Night
1600,8.6,0.0,0.0,6.8,360,Night
1899,11.9,0.0,0.0,2.9,60,Night
2028,16.5,0.0,0.0,2.6,34,Night
3090,10.2,0.0,0.0,7.9,87,Night
3587,9.3,0.0,0.0,8.3,72,Night
1755,7.5,0.0,0.0,2.2,351,Night
2468,8.8,0.0,0.0,1.5,346,Night
5154,17.7,0.0,0.0,3.0,14,Night
1988,10.4,0.0,0.0,7.9,87,Night
4202,12.6,0.0,0.0,6.1,93,Night
2464,11.4,0.0,0.0,1.8,143,Night
2598,13.3,0.0,0.0,0.4,90,Night
2735,13.3,0.0,0.0,4.3,114,Night
3081,13.2,0.0,0.0,4.3,114,Night
5192,12.6,0.0,0.0,6.1,93,Night
5982,13.9,0.0,0.0,3.9,112,Night
2458,8.8,0.0,0.0,6.1,118,Night
5751,8.9,0.0,0.0,6.1,118,Night
3276,13.5,0.0,0.0,5.7,55,Night
2527,13.0,0.0,0.0,9.3,36,Night
2150,17.4,0.0,0.0,2.6,34,Night
2177,17.0,0.0,0.0,0.8,27,Night
2479,17.0,0.0,0.0,2.8,40,Night
5338,16.3,0.0,0.0,1.6,153,Night
5638,17.3,0.0,0.0,0.8,27,Night
5938,18.0,0.0,0.0,2.6,34,Night
5425,6.8,0.0,0.0,4.3,48,Night
2486,13.9,0.0,0.0,4.3,132,Night
3023,12.0,0.0,0.0,5.9,133,Night
4174,14.0,0.0,0.0,4.3,132,Night
5435,14.0,0.0,0.0,4.3,132,Night
5884,13.8,0.0,0.0,4.3,132,Night
2648,14.4,0.0,0.0,4.0,170,Night
5434,14.7,0.0,0.0,2.3,141,Night
3494,11.5,0.0,0.0,4.7,90,Night
5610,10.5,0.0,0.0,2.2,90,Night
4238,9.7,0.0,0.0,10.3,54,Night
2517,17.2,0.0,0.0,6.9,354,Night
3123,14.1,0.0,0.0,4.3,132,Night
3523,12.6,0.0,0.0,7.8,338,Night
5162,8.2,0.0,0.0,9.2,26,Night
2948,17.4,0.0,0.0,3.3,13,Night
2507,10.2,0.0,0.0,5.9,76,Night
5658,10.2,0.0,0.0,5.9,76,Night
5659,10.3,0.0,0.0,5.9,76,Night
1917,17.2,0.0,0.0,2.8,40,Night
1882,10.0,0.0,0.0,6.1,45,Night
2621,8.4,0.0,0.0,7.2,27,Night
3147,14.9,0.0,0.0,8.2,331,Night
2030,7.2,0.0,0.0,9.8,66,Night
3180,17.2,0.0,0.0,4.8,297,Night
4134,17.4,0.0,0.0,7.3,340,Night
2297,8.8,0.0,0.0,10.3,25,Night
1554,13.0,0.0,0.0,4.4,55,Night
3022,13.0,0.0,0.0,4.4,55,Night
3352,10.3,0.0,0.0,3.3,49,Night
3708,10.6,0.0,0.0,4.8,297,Night
1616,-0.4,0.0,0.0,4.7,238,Night
4317,2.1,0.0,0.0,4.7,302,Night
2708,8.8,0.0,0.0,5.9,43,Night
3179,10.2,0.0,0.0,7.9,24,Night
2226,16.6,0.0,0.0,12.1,300,Night
5072,17.1,0.0,0.0,9.7,309,Night
5874,16.7,0.0,0.0,12.1,300,Night
2025,11.9,0.0,0.0,3.8,221,Night
2536,7.8,0.0,0.0,3.3,103,Night
1963,10.0,0.0,0.0,2.6,34,Night
3047,9.9,0.0,0.0,2.6,34,Night
2052,7.5,0.0,0.0,4.2,70,Night
2031,14.8,0.0,0.0,2.3,141,Night
1992,15.0,0.0,0.0,2.3,51,Night
5691,15.1,0.0,0.0,2.3,51,Night
1704,10.7,0.0,0.0,4.3,294,Night
5007,10.7,0.0,0.0,4.3,294,Night
5608,10.6,0.0,0.0,4.3,294,Night
5609,14.6,0.0,0.0,2.0,315,Night
3650,15.5,0.0,0.0,6.3,24,Night
1588,2.4,0.0,0.0,4.2,149,Night
4392,2.9,0.0,0.0,4.4,189,Night
1826,8.6,0.0,0.0,7.1,105,Night
5635,8.7,0.0,0.0,7.1,105,Night
5956,7.7,0.0,0.0,3.3,103,Night
2094,9.5,0.0,0.0,5.3,118,Night
